clusters,mean,std,min,max
2,0.7610551189889063,0.06892861024267126,0.617762652196597,1.407629074002627
5,0.7839999264544111,0.0776513824891573,0.5413793378542757,0.9698131527139882
8,0.785719331125057,0.06946751601093193,0.5627732705449386,0.9605751778711078
12,0.7855862257530369,0.07530499082325916,0.49367270264612745,1.1642423220244829
15,0.7861864367575048,0.08065114331384436,0.509286100265056,1.0501035666287715
18,0.783903875552069,0.08349654297316694,0.5046195929445354,1.0646483396603375
22,0.7843506472892361,0.07893458546733968,0.5409136202044107,1.0651454710865487
25,0.782037946586834,0.08347783164712984,0.528054202491656,0.9862988230392881
29,0.7811235442420296,0.08086107569895742,0.5027730742626281,0.9746614436460678
32,0.7800740901798544,0.08091487171826237,0.5254568746616287,1.0066425573582698
35,0.7814750742747371,0.07453198316136929,0.5247364099600509,0.9996411917148254
39,0.7741895925827169,0.07733422586487085,0.49802582276389834,0.9884903688404256
42,0.7761959404136989,0.07601887806520716,0.5155073972370199,0.9948080912577204
45,0.7781989510374241,0.07925006353510003,0.5327709413155904,1.0895262451985122
49,0.7804679832698682,0.08500738208757161,0.4817295823431247,1.1401730635621217
52,0.77562770305769,0.07508384074460044,0.5066012234755741,0.9737660206426845
56,0.7799533879478364,0.08032830197785419,0.5377810415621185,1.0929359263501204
59,0.780650090954831,0.07779491356591,0.5650313610991607,0.9822876801928556
62,0.7806676576684543,0.07899041144495189,0.5273143233133907,1.0474987984011868
66,0.7826205835152235,0.08336281570711913,0.5302419310457004,1.0417791218434882
69,0.7811184681874761,0.07684898209509024,0.5390996175377313,1.0708718843445493
72,0.7803724636659519,0.07699513723811653,0.5427507397277828,1.0432429388572853
76,0.7826667248898485,0.07615042565035764,0.542811457630834,0.9736855073946156
79,0.7852948559699131,0.07904160663439899,0.5449807171362882,1.1944880924345829
83,0.7835909878811924,0.08047502485644938,0.5408478419945412,1.1604329272780387
86,0.786416668951503,0.08296936495433696,0.5422412827223485,1.1189360663098409
89,0.7800186311484107,0.07869346458376902,0.5183204086948202,1.0260001352691666
93,0.7812949850251218,0.08011461546644705,0.5227805209953641,1.0542590566197103
96,0.7804119527155695,0.07861507972359222,0.5283805028370484,1.113780758990082
100,0.7849378359102029,0.08001628930677077,0.5406191479670514,1.0644481809190804
