method,threshold,mean,std,min,max
method_1,0.5,0.25693068355321885,0.036125637111683574,0.21693949401378632,0.33991944789886475
method_1,0.51,0.25673179924488065,0.03611057538660322,0.21693949401378632,0.33991944789886475
method_1,0.52,0.2533962056040764,0.03989446078313645,0.19958710670471191,0.33991944789886475
method_1,0.53,0.2473754659295082,0.042846568275131856,0.19728001952171326,0.33991944789886475
method_1,0.54,0.23841686099767684,0.03884298496928188,0.1939784586429596,0.3161967992782593
method_1,0.55,0.23676064759492874,0.0384730375397716,0.1939784586429596,0.3161967992782593
method_1,0.56,0.2332446336746216,0.03655614854156781,0.1939784586429596,0.3038296103477478
method_1,0.5700000000000001,0.23258690237998964,0.035912060716463204,0.1939784586429596,0.3038296103477478
method_1,0.58,0.23133340924978257,0.03610789553402343,0.1939784586429596,0.3038296103477478
method_1,0.59,0.22464400678873062,0.043899173812009334,0.16384868323802948,0.3170822858810425
method_1,0.6,0.22433282136917115,0.044391181762121444,0.16384868323802948,0.3170822858810425
method_1,0.61,0.21920721977949142,0.04682461300658622,0.16206200420856476,0.309140682220459
method_1,0.62,0.22142519056797028,0.04812367861702955,0.16206200420856476,0.309140682220459
method_1,0.63,0.21806001514196396,0.047658557452744076,0.15884742140769958,0.30875691771507263
method_1,0.64,0.2088729038834572,0.04850871258936741,0.14817605912685394,0.30875691771507263
method_1,0.65,0.20389275699853898,0.04698473189705858,0.14817605912685394,0.2970333397388458
method_1,0.66,0.19658223986625672,0.04835252822843881,0.1441470831632614,0.29189518094062805
method_1,0.67,0.1902508854866028,0.04740517954244942,0.14107556641101837,0.29189518094062805
method_1,0.6799999999999999,0.18421850502490997,0.039890723173322,0.14107556641101837,0.25538527965545654
method_1,0.69,0.18221167773008345,0.040842537636220456,0.1379656344652176,0.25543898344039917
method_1,0.7,0.1756537988781929,0.04015105121262154,0.13159948587417603,0.24976596236228943
method_1,0.71,0.17316931635141372,0.041129847037794466,0.12641358375549316,0.24976596236228943
method_1,0.72,0.1703308142721653,0.04207452247166761,0.12432271987199783,0.24850764870643616
method_1,0.73,0.16875003203749656,0.04134894483185614,0.12441089004278183,0.24673360586166382
method_1,0.74,0.16745769381523132,0.04154676353975556,0.12638653814792633,0.24870669841766357
method_1,0.75,0.16322795525193215,0.04097769446986431,0.11236684769392014,0.2403569370508194
method_1,0.76,0.1567360706627369,0.033524108464995206,0.11286865919828415,0.21493788063526154
method_1,0.77,0.15419085323810577,0.035565331516739934,0.11423507332801819,0.2188972383737564
method_1,0.78,0.146709855645895,0.0370282249697011,0.1069677472114563,0.21400605142116547
method_1,0.79,0.14448469281196594,0.04001148273916185,0.0923801064491272,0.21339453756809235
method_1,0.8,0.13739999160170555,0.033595395544391685,0.08985534310340881,0.19840969145298004
method_1,0.81,0.1296384982764721,0.034427894958842055,0.08830620348453522,0.1906997412443161
method_1,0.8200000000000001,0.1220981739461422,0.02901169160455165,0.08783548325300217,0.16978539526462555
method_1,0.8300000000000001,0.11376484706997872,0.025240396443043905,0.08158309012651443,0.1624598652124405
method_1,0.8400000000000001,0.11100938618183136,0.026474173524434076,0.07683142274618149,0.16504444181919098
method_1,0.8500000000000001,0.10510543882846832,0.026294804661797285,0.07154424488544464,0.1576138436794281
method_1,0.86,0.09792727380990982,0.026735999298135676,0.06865229457616806,0.15661384165287018
method_1,0.87,0.09040853530168533,0.02206292864751364,0.06614203751087189,0.14036749303340912
method_1,0.88,0.08287699818611145,0.017098659457859176,0.06177555024623871,0.11948855221271515
method_1,0.89,0.07573337890207768,0.009134020393562257,0.06196228042244911,0.09162061661481857
method_1,0.9,0.06658240482211113,0.011898701136743626,0.04747452214360237,0.08076395839452744
method_1,0.91,0.05843169018626213,0.0073216311452402845,0.044526606798172,0.068875752389431
method_1,0.9199999999999999,0.05254251584410667,0.006934460480609001,0.043810658156871796,0.06511744856834412
method_1,0.9299999999999999,0.04762730821967125,0.007713729225627199,0.03814738988876343,0.06216496601700783
method_1,0.94,0.041239749640226364,0.006830091481053299,0.031163640320301056,0.052933838218450546
method_1,0.95,0.0333780100569129,0.005828625012363416,0.02243928052484989,0.04055541008710861
method_1,0.96,0.027403758838772774,0.0058136394035783944,0.018159275874495506,0.035793744027614594
method_1,0.97,0.02188638858497143,0.005216186486029312,0.015409080311655998,0.030600205063819885
method_1,0.98,0.01450068959966302,0.0024349592291298084,0.011275042779743671,0.020253386348485947
method_1,0.99,0.008635124424472451,0.003176924407616363,0.005574740469455719,0.01412526611238718
method_2,0.5,0.29515030384063723,0.04525077413921871,0.23855462670326233,0.382046103477478
method_2,0.51,0.29028575122356415,0.044098446024616815,0.23855462670326233,0.382046103477478
method_2,0.52,0.2858570605516434,0.044930650053839366,0.23685772716999054,0.3783220946788788
method_2,0.53,0.27887505739927293,0.04759791582033603,0.22038297355175018,0.3783220946788788
method_2,0.54,0.2700920045375824,0.04119417035025683,0.22038297355175018,0.3444092273712158
method_2,0.55,0.2635089248418808,0.044480660892766886,0.2092536836862564,0.3444092273712158
method_2,0.56,0.2553118258714676,0.04659493736623482,0.2092536836862564,0.3420478403568268
method_2,0.5700000000000001,0.25003895312547686,0.04721356787604877,0.19484804570674896,0.3420478403568268
method_2,0.58,0.24602797776460647,0.04382400761021913,0.19484804570674896,0.3194231390953064
method_2,0.59,0.23785655200481415,0.04355408639089161,0.1804833710193634,0.3194231390953064
method_2,0.6,0.23374016880989074,0.043358897344397074,0.1804833710193634,0.3151295781135559
method_2,0.61,0.2290702298283577,0.04512591462042677,0.17273035645484924,0.3161892592906952
method_2,0.62,0.2269860491156578,0.044462716313416466,0.17273035645484924,0.3140648901462555
method_2,0.63,0.22436720877885818,0.0460083872365943,0.1784415990114212,0.3140648901462555
method_2,0.64,0.21953401267528533,0.04089957918696036,0.1784415990114212,0.29636871814727783
method_2,0.65,0.21191167384386062,0.03668530567344336,0.17077627778053284,0.27560266852378845
method_2,0.66,0.2088209867477417,0.03544043297329034,0.16193655133247375,0.27560266852378845
method_2,0.67,0.20623363852500914,0.03500071337227658,0.16193655133247375,0.2713301181793213
method_2,0.6799999999999999,0.20034580528736115,0.038867550028515684,0.1445121318101883,0.27294182777404785
method_2,0.69,0.1963328018784523,0.03859412249603506,0.14169293642044067,0.26527833938598633
method_2,0.7,0.19434833377599717,0.038539177496120625,0.13971064984798431,0.2634078860282898
method_2,0.71,0.19067943841218948,0.038741368252904744,0.13612358272075653,0.26041603088378906
method_2,0.72,0.1836044654250145,0.03622058099541494,0.13612358272075653,0.24806427955627441
method_2,0.73,0.17578305155038834,0.03365421203988138,0.12606263160705566,0.23653030395507812
method_2,0.74,0.17152594923973083,0.030753138245870712,0.12633854150772095,0.22518174350261688
method_2,0.75,0.16566977500915528,0.028530461471011223,0.12222489714622498,0.21705539524555206
method_2,0.76,0.15604454800486564,0.024099556445221073,0.11781655997037888,0.2025732547044754
method_2,0.77,0.15345354974269867,0.022659678879775127,0.11805121600627899,0.1957872062921524
method_2,0.78,0.14747897535562515,0.023100030772786693,0.1133982390165329,0.19498075544834137
method_2,0.79,0.14386227875947952,0.02419987916440755,0.1104084700345993,0.19442827999591827
method_2,0.8,0.13719201385974883,0.02276876957864159,0.103365458548069,0.18692277371883392
method_2,0.81,0.12879327610135077,0.024098778949521327,0.0977657362818718,0.18349719047546387
method_2,0.8200000000000001,0.12471721842885017,0.02487138769152518,0.0941377505660057,0.18475694954395294
method_2,0.8300000000000001,0.11579241678118705,0.022409856390324032,0.08876967430114746,0.1706220805644989
method_2,0.8400000000000001,0.10642288625240326,0.011694306305517859,0.08923383802175522,0.12819309532642365
method_2,0.8500000000000001,0.10073792487382889,0.008961239144793248,0.08950262516736984,0.11844884604215622
method_2,0.86,0.09232901111245155,0.010123165891766645,0.07741653174161911,0.11011262238025665
method_2,0.87,0.08551128581166267,0.00827317784610826,0.07193836569786072,0.0985482782125473
method_2,0.88,0.07814045324921608,0.007020899612624238,0.06959577649831772,0.09189534187316895
method_2,0.89,0.0733598917722702,0.0048396524910773705,0.06469054520130157,0.08052904903888702
method_2,0.9,0.06591815128922462,0.004760250632648001,0.05840177461504936,0.07219643890857697
method_2,0.91,0.06006184034049511,0.005014749807664384,0.05283847451210022,0.06697414070367813
method_2,0.9199999999999999,0.052773603796958925,0.005132630136298717,0.04408285766839981,0.06275363266468048
method_2,0.9299999999999999,0.045214303955435756,0.004986037589667238,0.036589547991752625,0.052638374269008636
method_2,0.94,0.038674641773104666,0.00461715115338861,0.03119238093495369,0.046588074415922165
method_2,0.95,0.032767402566969396,0.004492839798896484,0.027297858148813248,0.04274853691458702
method_2,0.96,0.02705695927143097,0.004429728800761067,0.021336907520890236,0.03542961925268173
method_2,0.97,0.019688990898430347,0.002325955044963204,0.017573945224285126,0.02503969334065914
method_2,0.98,0.014310784358531236,0.0038239751553434394,0.010362167842686176,0.02181723155081272
method_2,0.99,0.006794343795627355,0.0026413432183634068,0.004912081174552441,0.014048930257558823
method_3,0.5,0.37398444712162016,0.034676436037342606,0.33631035685539246,0.45191049575805664
method_3,0.51,0.37228081226348875,0.03457640201234654,0.33631035685539246,0.45191049575805664
method_3,0.52,0.3606463223695755,0.049502761042228165,0.27617108821868896,0.45191049575805664
method_3,0.53,0.33968763053417206,0.046126866150052945,0.27617108821868896,0.40548276901245117
method_3,0.54,0.3255747765302658,0.04200649993754925,0.27617108821868896,0.40548276901245117
method_3,0.55,0.32289911806583405,0.04488569182972094,0.26239460706710815,0.40548276901245117
method_3,0.56,0.3073029279708862,0.04291469868959055,0.2540552318096161,0.39048078656196594
method_3,0.5700000000000001,0.3026435136795044,0.041124818775878605,0.2540552318096161,0.39048078656196594
method_3,0.58,0.29155775904655457,0.04689692367760156,0.22861424088478088,0.3719116747379303
method_3,0.59,0.2852071925997734,0.04649780643712529,0.22861424088478088,0.3719116747379303
method_3,0.6,0.28450831323862075,0.04695056866265419,0.22861424088478088,0.3719116747379303
method_3,0.61,0.2779893323779106,0.047371756356352476,0.21773169934749603,0.3650137186050415
method_3,0.62,0.2783713281154633,0.04844695997958456,0.21773169934749603,0.3650137186050415
method_3,0.63,0.2743917405605316,0.046923361009697497,0.21246089041233063,0.3625216484069824
method_3,0.64,0.2627388581633568,0.04832703190605134,0.20415839552879333,0.34644851088523865
method_3,0.65,0.25656767636537553,0.045366027689913595,0.20415839552879333,0.34644851088523865
method_3,0.66,0.25060050636529924,0.04271958838722624,0.20033088326454163,0.33705103397369385
method_3,0.67,0.24394958317279816,0.041506714170694015,0.19513039290905,0.3165878653526306
method_3,0.6799999999999999,0.2353458896279335,0.04536322313970432,0.17744365334510803,0.3165878653526306
method_3,0.69,0.22448595762252807,0.045045624457917724,0.17146903276443481,0.30923834443092346
method_3,0.7,0.22049333304166793,0.041383619818581144,0.17146903276443481,0.29509976506233215
method_3,0.71,0.21353789120912553,0.04134708763877087,0.15921612083911896,0.2935132086277008
method_3,0.72,0.21237116008996965,0.04033673987134076,0.15955321490764618,0.2916903495788574
method_3,0.73,0.2087274059653282,0.03960438046549341,0.15657547116279602,0.2883839011192322
method_3,0.74,0.20274230986833572,0.037292608456486694,0.1481083780527115,0.27817896008491516
method_3,0.75,0.19615068584680556,0.03727916396707645,0.1323578655719757,0.26736685633659363
method_3,0.76,0.19266135096549988,0.03758752652977638,0.1291533261537552,0.26739105582237244
method_3,0.77,0.18966279923915863,0.03830751896635186,0.12659206986427307,0.26623281836509705
method_3,0.78,0.18438649028539658,0.038391029342218747,0.12261325120925903,0.25881990790367126
method_3,0.79,0.1801505506038666,0.03608096324129429,0.1222279965877533,0.2495073825120926
method_3,0.8,0.17069548815488816,0.03557889034819581,0.11833707988262177,0.24113984405994415
method_3,0.81,0.16319289654493332,0.03281413802858015,0.11675779521465302,0.22994862496852875
method_3,0.8200000000000001,0.15796989351511,0.03224847936432798,0.11486002802848816,0.22209705412387848
method_3,0.8300000000000001,0.1508202739059925,0.028561002713659498,0.11079808324575424,0.200696662068367
method_3,0.8400000000000001,0.14718592837452887,0.029808386331550626,0.10501238703727722,0.2011101245880127
method_3,0.8500000000000001,0.14229198321700096,0.02957160814514652,0.10538734495639801,0.19574502110481262
method_3,0.86,0.1353457637131214,0.027914222885859877,0.09999845921993256,0.19460947811603546
method_3,0.87,0.12765045017004012,0.02526351679056989,0.09634058177471161,0.18209825456142426
method_3,0.88,0.12211987376213074,0.01941994877692195,0.09961652755737305,0.1665775626897812
method_3,0.89,0.11679714024066926,0.018908403287480804,0.09637186676263809,0.15751072764396667
method_3,0.9,0.10811729654669762,0.02093315771029971,0.08276916295289993,0.15126943588256836
method_3,0.91,0.10059567540884018,0.01802335183758575,0.0825762078166008,0.13526473939418793
method_3,0.9199999999999999,0.09533206447958946,0.015420256730993143,0.07203727215528488,0.12080175429582596
method_3,0.9299999999999999,0.08833816908299923,0.016260250088359827,0.06215353682637215,0.11845520883798599
method_3,0.94,0.08199963755905629,0.016203602306682104,0.05479798838496208,0.10751605778932571
method_3,0.95,0.072722789645195,0.014031775505787415,0.05037714168429375,0.09466953575611115
method_3,0.96,0.06513402909040451,0.013716013422662035,0.04508468508720398,0.08607786893844604
method_3,0.97,0.05646549798548221,0.011341646661200496,0.041101887822151184,0.07145529985427856
method_3,0.98,0.04621511660516262,0.009213346121368579,0.030615996569395065,0.0587393194437027
method_3,0.99,0.03630919121205807,0.00699360155681946,0.023399008437991142,0.04621183127164841
method_4,0.5,0.21814515590667724,0.03636134427273186,0.17148509621620178,0.294688880443573
method_4,0.51,0.2135019987821579,0.03595463052978722,0.17148509621620178,0.294688880443573
method_4,0.52,0.2080574944615364,0.032870234305395554,0.16711564362049103,0.27370795607566833
method_4,0.53,0.20145184248685838,0.03416946306812976,0.15713606774806976,0.27370795607566833
method_4,0.54,0.19541607201099395,0.03206897466220388,0.15713606774806976,0.2562781572341919
method_4,0.55,0.18686947077512742,0.03451193477759728,0.14115554094314575,0.2562781572341919
method_4,0.56,0.17611462771892547,0.03199686071251341,0.14115554094314575,0.23113088309764862
method_4,0.5700000000000001,0.17033273130655288,0.032509533876282234,0.12844422459602356,0.23113088309764862
method_4,0.58,0.1645049750804901,0.028856033567106653,0.12844422459602356,0.20934756100177765
method_4,0.59,0.1570906586945057,0.028253107048691547,0.11305659264326096,0.20335234701633453
method_4,0.6,0.15223618373274803,0.02700968343964674,0.11305659264326096,0.19428490102291107
method_4,0.61,0.14593457505106927,0.02727457506820625,0.10741329938173294,0.19151367247104645
method_4,0.62,0.14040281251072884,0.022487842187735804,0.10741329938173294,0.17933997511863708
method_4,0.63,0.13445065245032312,0.02567644212938449,0.10093089193105698,0.17933997511863708
method_4,0.64,0.12692785039544105,0.019741812281757445,0.10093089193105698,0.16655053198337555
method_4,0.65,0.12113148495554923,0.018597115896285144,0.09623951464891434,0.16247427463531494
method_4,0.66,0.11740036457777023,0.017979690858186525,0.09284771978855133,0.15778446197509766
method_4,0.67,0.11426409184932709,0.01833608785469796,0.09284771978855133,0.15778446197509766
method_4,0.6799999999999999,0.10983671247959137,0.01709273086594922,0.08392051607370377,0.14610368013381958
method_4,0.69,0.10569168776273727,0.016078912897481305,0.0802987813949585,0.13953444361686707
method_4,0.7,0.10188890323042869,0.016081578852669785,0.07443490624427795,0.13497307896614075
method_4,0.71,0.0989156998693943,0.015220655627234134,0.072604238986969,0.12988117337226868
method_4,0.72,0.0946794681251049,0.012182841876788867,0.072604238986969,0.11769651621580124
method_4,0.73,0.09057058915495872,0.012415630468449547,0.07017873227596283,0.11404427140951157
method_4,0.74,0.08684019148349761,0.012029683391623826,0.06601584702730179,0.10645411163568497
method_4,0.75,0.08208108097314834,0.012298496073525022,0.06155311316251755,0.10284563153982162
method_4,0.76,0.07597321420907974,0.009392690175154993,0.058149538934230804,0.09359866380691528
method_4,0.77,0.07227824814617634,0.007912847586932312,0.05663594976067543,0.08473824709653854
method_4,0.78,0.06827968657016754,0.0065193091353371166,0.05467189848423004,0.07839319109916687
method_4,0.79,0.06479462273418904,0.0063282247080175495,0.05270940810441971,0.07719803601503372
method_4,0.8,0.06093895547091961,0.0050981214448363715,0.04992067068815231,0.06827681511640549
method_4,0.81,0.057602394744753836,0.00580096308739491,0.04696747288107872,0.06645211577415466
method_4,0.8200000000000001,0.05475294589996338,0.005353290422653619,0.04448438435792923,0.06335656344890594
method_4,0.8300000000000001,0.05008712783455849,0.00553256195109317,0.04025723785161972,0.06087484210729599
method_4,0.8400000000000001,0.045993583649396895,0.004706301472971812,0.03803803026676178,0.056278523057699203
method_4,0.8500000000000001,0.042290400713682175,0.004802567205186466,0.036106888204813004,0.05315110832452774
method_4,0.86,0.038627201691269875,0.004470514942437256,0.03130468353629112,0.04786853864789009
method_4,0.87,0.03542877212166786,0.004607916344131658,0.02882557362318039,0.045002590864896774
method_4,0.88,0.032438570819795134,0.004874337821461653,0.026895824819803238,0.043729666620492935
method_4,0.89,0.02934480495750904,0.00417843158824058,0.023850131779909134,0.037770044058561325
method_4,0.9,0.026225577294826507,0.003682935007464399,0.02046820893883705,0.032046254724264145
method_4,0.91,0.023304383642971514,0.0029248934946765268,0.018592454493045807,0.027849994599819183
method_4,0.9199999999999999,0.019993187859654427,0.002043322664182459,0.016586381942033768,0.021779637783765793
method_4,0.9299999999999999,0.01696751108393073,0.001760109697444127,0.013951355591416359,0.018817847594618797
method_4,0.94,0.013976779580116273,0.0016292840107709494,0.01111721433699131,0.015714162960648537
method_4,0.95,0.011466911155730486,0.0013536651520220022,0.008904056623578072,0.013232467696070671
method_4,0.96,0.008965400140732526,0.0009098520411750319,0.00719060143455863,0.009662824682891369
method_4,0.97,0.00642035473138094,0.0007375133642090098,0.005121690686792135,0.007648606784641743
method_4,0.98,0.004285125364549458,0.0004762195124794792,0.00342223490588367,0.005051739979535341
method_4,0.99,0.0020212031551636754,0.0002817474373955904,0.001472694450058043,0.0025590062141418457
